metadata,Citation,URL,Number of Data Points
acari_Newton_and_Proctor_2013,"Newton, J. S., & Proctor, H. C. (2013). A fresh look at weight-estimation models for soil mites (Acari). International Journal of Acarology, 39(1), 72?85. ",https://doi.org/10.1080/01647954.2012.744351,1
acrididae_Bellinger_and_Pienkowski_1985,"Bellinger, R. G., & Pienkowski, R. L. (1985). Interspecific variation in ovariole number in Melanopline grasshoppers (Orthoptera: Acrididae). Annals of the Entomological Society of America, 78(1), 127?130. ",https://doi.org/10.1093/aesa/78.1.127,13
acrididae_Garcia-Navas_et_al_2017,"Garc°a-Navas, V., Noguerales, V., Cordero, P. J., & Ortego, J. (2017). Ecological drivers of body size evolution and sexual size dimorphism in short-horned grasshoppers (Orthoptera: Acrididae). Journal of Evolutionary Biology, 30(8), 1592?1608. ",https://doi.org/10.1111/jeb.13131,71
actinopterygii_Beukhof_et_al_2019,"Beukhof, E., Dencker, T. S., Palomares, M. L., & Maureaud, A. (2019). A trait collection of marine fish species from North Atlantic and Northeast Pacific continental shelf seas. See Https://Doi. Pangaea. de/10.1594/PANGAEA, 900866. ",https://backend.orbit.dtu.dk/ws/portalfiles/portal/182701028/SupplementaryInformationTraitCollection.pdf,397
actinopterygii_Brosse_et_al_2021,"Brosse, S., Charpin, N., Su, G., Toussaint, A., Herrera-R, G. A., Tedesco, P. A., & VillÇger, S. (2021). FISHMORPH: A global database on morphological traits of freshwater fishes. Global Ecology and Biogeography, 30(12), 2330?2336. ",https://doi.org/10.1111/geb.13395,403
actinopterygii_Drew_and_Amatangelo_2017,"Drew, J. A., & Amatangelo, K. L. (2017). Community assembly of coral reef fishes along the Melanesian biodiversity gradient. PloS One, 12(10), e0186123. ",https://doi.org/10.1371/journal.pone.0186123,211
actinopterygii_Dunic_and_Baum_2017,"Dunic, J. C., & Baum, J. K. (2017). Size structuring and allometric scaling relationships in coral reef fishes. Journal of Animal Ecology, 86(3), 577?589. ",https://doi.org/10.1111/1365-2656.12637,31
actinopterygii_Lecocq_et_al_2019,"Lecocq, T., Benard, A., Pasquet, A., Nahon, S., Ducret, A., Dupont-Marin, K., Lang, I., & Thomas, M. (2019). TOFF, a database of traits of fish to promote advances in fish aquaculture. Scientific Data, 6(1), 301. ",https://doi.org/10.1038/s41597-019-0307-z,138
amphibia_Oliveira_et_al_2017,"Oliveira, B. F., S?o-Pedro, V. A., Santos-Barrera, G., Penone, C., & Costa, G. C. (2017). AmphiBIO, a global database for amphibian ecological traits. Scientific Data, 4(1), 1?7. ",https://doi.org/10.1038/sdata.2017.123,423
animalia_Brose_et_al_2019,"Brose, U., Archambault, P., Barnes, A. D., Bersier, L.-F., Boy, T., Canning-Clode, J., Conti, E., Dias, M., Digel, C., Dissanayake, A., & others. (2019). Predator traits determine food-web architecture across ecosystems. Nature Ecology & Evolution, 3(6), 919?927. ",https://doi.org/10.1038/s41559-019-0899-x,2810
animalia_Forster_et_al_2012,"Forster, J., Hirst, A. G., & Atkinson, D. (2012). Warming-induced reductions in body size are greater in aquatic than terrestrial species. Proceedings of the National Academy of Sciences, 109(47), 19310?19314. ",https://doi.org/10.1073/pnas.1210460109,91
animalia_Herberstein_et_al_2022,"Herberstein, M. E., McLean, D. J., Lowe, E., Wolff, J. O., Khan, M. K., Smith, K., Allen, A. P., Bulbert, M., Buzatto, B. A., Eldridge, M. D., & others. (2022). AnimalTraits-a curated animal trait database for body mass, metabolic rate and brain size. Scientific Data, 9(1), 265. ",https://doi.org/10.1038/s41597-022-01364-9,2494
animalia_Merckx_et_al_2018,"Merckx, T., Souffreau, C., Kaiser, A., Baardsen, L. F., Backeljau, T., Bonte, D., Brans, K. I., Cours, M., Dahirel, M., Debortoli, N., & others. (2018). Body-size shifts in aquatic and terrestrial urban communities. Nature, 558(7708), 113?116. ",https://doi.org/10.1038/s41597-022-01364-9,1212
animalia_Methot_et_al_2012,"MÇthot, G., Hudon, C., Gagnon, P., Pinel-Alloul, B., Armellin, A., & Poirier, A.-M. T. (2012). Macroinvertebrate size?mass relationships: How specific should they be? Freshwater Science, 31(3), 750?764.",https://doi.org/10.1899/11-120.1,6
animalia_remaining_species_ubpublished,Animalia remaining top species unpublished. (n.d.).,NA,3384
annelids_Beaudreau_et_al_2021,"Beaudreau, N., Massamba-N?Siala, G., Belzile, C., Calosi, P., & Dufresne, F. (2021). Life-history traits display strong associations to genome size in annelids. Hydrobiologia, 848, 799?810. ",https://doi.org/10.1007/s10750-020-04477-7,11
anthozoa_Madin_et_al_2016,"Madin, J. S., Anderson, K. D., Andreasen, M. H., Bridge, T. C., Cairns, S. D., Connolly, S. R., Darling, E. S., Diaz, M., Falster, D. S., Franklin, E. C., & others. (2016). The Coral Trait Database, a curated database of trait information for coral species from the global oceans. Scientific Data, 3(1), 1?22. ",https://doi.org/10.1038/sdata.2016.17,12
apidae_Austin_et_al_2022,"Austin, M. W., Tripodi, A. D., Strange, J. P., & Dunlap, A. S. (2022). Bumble bees exhibit body size clines across an urban gradient despite low genetic differentiation. Scientific Reports, 12(1), 4166. ",https://doi.org/10.1038/s41598-022-08093-4,17
apidae_Borrell_2007,"Borrell, B. J. (2007). Scaling of nectar foraging in orchid bees. The American Naturalist, 169(5), 569?580.",https://www.journals.uchicago.edu/doi/epdf/10.1086/512689,2
arachnida_Kaston_1972,"Kaston, B. J. & others. (1978). How to know the spiders. William C. Brown Co. ",https://www.cabdirect.org/cabdirect/abstract/19800575297,39
arachnida_Pekar_et_al_2021,"Pek†r, S., Wolff, J. O., ?erneck†, L., Birkhofer, K., Mammola, S., Lowe, E. C., Fukushima, C. S., Herberstein, M. E., Ku?era, A., Buzatto, B. A., & others. (2021). The World Spider Trait database: A centralized global open repository for curated data on spider traits. In Database (Vol. 2021). Oxford Academic. https://doi.org/10.1093/database/baab064",https://doi.org/10.1093/database/baab064,595
arachnida_Pekar_et_al_unpublished,"Pek†r, S., Wolff, J. O., ?erneck†, L., Birkhofer, K., Mammola, S., Lowe, E. C., Fukushima, C. S., Herberstein, M. E., Ku?era, A., Buzatto, B. A., & others. (2021). The World Spider Trait database: A centralized global open repository for curated data on spider traits. In Database (Vol. 2021). Oxford Academic. https://doi.org/10.1093/database/baab064",https://doi.org/10.1093/database/baab064,690
arachnida_Sensenig_et_al_2010,"Sensenig, A., Agnarsson, I., & Blackledge, T. (2010). Behavioural and biomaterial coevolution in spider orb webs. Journal of Evolutionary Biology, 23(9), 1839?1856. ",https://doi.org/10.1111/j.1420-9101.2010.02048.x,66
arcididae_Laws_and_Joern_2011,"Laws, A. N., & Joern, A. (2011). Grasshopper fecundity responses to grazing and fire in a tallgrass prairie. Environmental Entomology, 40(5), 979?988. ",https://doi.org/10.1603/EN10146,6
arthropoda_Bowler_et_al_2017,"Bowler, D. E., Hof, C., Haase, P., Krîncke, I., Schweiger, O., Adrian, R., Baert, L., Bauer, H.-G., Blick, T., Brooker, R. W., & others. (2017). Cross-realm assessment of climate change impacts on species? abundance trends. Nature Ecology & Evolution, 1(3), 0067. ",https://doi.org/10.1038/s41559-016-0067,97
arthropoda_Hines_et_al_2019,"Hines, J., Giling, D. P., Rzanny, M., Voigt, W., Meyer, S. T., Weisser, W. W., Eisenhauer, N., & Ebeling, A. (2019). A meta food web for invertebrate species collected in a European grassland. Wiley Online Library. ",https://doi.org/10.1002/ecy.2679,691
arthropoda_Rigal_et_al_2017,"Rigal, F., Cardoso, P., Lobo, J. M., Triantis, K. A., Whittaker, R. J., Amorim, I. R., & Borges, P. A. (2018). Functional traits of indigenous and exotic ground-dwelling arthropods show contrasting responses to land-use change in an oceanic island, Terceira, Azores. Diversity and Distributions, 24(1), 36?47. ",https://doi.org/10.1111/ddi.12655,153
aves_Franklin_et_al_2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu-Austral Ornithology, 114(2), 160?170. ",https://doi.org/10.1071/MU13034,921
bibionidae_Hardy_1940,"Hardy, D. E. (1940). Studies in New World Plecia (Bibionidae-Diptera) Part I. Journal of the Kansas Entomological Society, 13(1), 15?27.",https://www.jstor.org/stable/25081585,1
bivalvia_Ibanez_et_al_2021,"Ib†§ez, C. M., Carter, M. J., Aguilera, M. A., Pardo-Gandarillas, M. C., & Rezende, E. L. (2021). Body size variation in polyplacophoran molluscs: Geographical clines and community structure along the south-eastern Pacific. Global Ecology and Biogeography, 30(9), 1781?1795. ",https://doi.org/10.1111/geb.13341,1
blattodea_Mizumoto_and_Bourguignon_2021,"Mizumoto, N., & Bourguignon, T. (2021). The evolution of body size in termites. Proceedings of the Royal Society B, 288(1963), 20211458. ",https://doi.org/10.1098/rspb.2021.1458,1
blenniidae_Egan_et_al_2021,"Egan, J. P., Buser, T. J., Burns, M. D., Simons, A. M., & Hundt, P. J. (2021). Patterns of body shape diversity and evolution in intertidal and subtidal lineages of combtooth blennies (Blenniidae). Integrative Organismal Biology, 3(1), obab004. ",https://doi.org/10.1093/iob/obab004,20
braconidae_manual_addition_unpublished,"Crockett, C. D., Lucky, A., Liburd, O. E., Entomology, Department, N., Florida, U. of, Kester, K. M., & University, V. C. (2014). Common name: A parasitoid wasp scientific name: Cotesia congregata (Say) (Insecta: Hymenoptera: Braconidae). University of Florida. ",https://entnemdept.ufl.edu/creatures/misc/wasps/cotesia_congregata.htm,1
branchiopoda_Rizo_et_al_2019,"Rizo, E. Z., Xu, S., Tang, Q., Papa, R. D. S., Dumont, H. J., Qian, S. S., & Han, B.-P. (2019). A global analysis of cladoceran body size and its variation linking to habitat, distribution and taxonomy. Zoological Journal of the Linnean Society, 187(4), 1119?1130. ",https://doi.org/10.1093/zoolinnean/zlz053,7
buprestidae_Nalepa_et_al_2018,"Nalepa, C. A., Swink, W. G., & Basham, J. P. (2018). The relationship of body length to fresh weight varies across three buprestid genera (Coleoptera: Buprestidae). The Coleopterists Bulletin, 72(2), 380?381. ",https://doi.org/10.1649/0010-065X-72.2.380,1
carabidae_Magura_et_al_2020,"Magura, T., Ferrante, M., & Lîvei, G. L. (2020). Only habitat specialists become smaller with advancing urbanization. Global Ecology and Biogeography, 29(11), 1978?1987. ",https://doi.org/10.1111/geb.13168,174
